файл;строка;ключ;было;стало;тип
00_ef_gui;1365;raw_material;Сырье;Сырьё и военное снаряжение;A/потерян фрагмент
00_ef_gui;1369;interest_rate_policy;Ключевая ставка;Политика ключевой ставки;A/потерян фрагмент
00_ef_gui;1435;country_country_credit_pondered_mean;Средний кредитный рейтинг страны [GetPlayer.MakeScope.ScriptValue('country_credit_pondered_mean')|D3]/10;Средний кредитный рейтинг страны [GetPlayer.MakeScope.ScriptValue('country_credit_pondered_mean')|D3]/10\n(база 10);A/потерян фрагмент
00_ef_gui;1437;institution_economic_central_bank_lvl;Учреждение ([GetPlayer.MakeScope.ScriptValue('institution_economic_central_bank_lvl_brut')]);Институт ([GetPlayer.MakeScope.ScriptValue('institution_economic_central_bank_lvl_brut')]);C/термин
00_ef_gui;1446;country_institution_economic_central_bank_max_investment_add;Максимальное управление экономикой и центральным банком;Макс. уровень института «Экономическое и банковское управление»;C/термин
00_ef_gui;1472;country_credit_rating_ratio_with_national_capacity_reference_currency;Соотношение нацио-\nнальной мощности;Соотношение нацио-\nнального капитала;C/nat. capacity
00_ef_gui;1496;country_credit_rating_infamy;Уровень бесчестия;Уровень дурной славы;C/infamy
00_ef_gui;1542;dutch_stock_exchange;Голландская фондовая биржа;Нидерландская фондовая биржа;C/термин
00_ef_gui;1543;palacio_da_bolsa;Палацио да Болса;Дворец биржи в Порту;A/транслитерация
00_ef_gui;1574;budget_panel_desc_raw_material;Здесь вы можете купить сырье на международном рынке. В отличие от договора о поставке сырья, здесь вы платите золотом по курсу глобальной эталонной валюты ([GetPlayer.GetCustom('global_monetary_reference_currency_ISO_4217')] [GetPlayer.GetCustom('global_monetary_reference_texture')]).\n У вас нет ограничения по количеству покупок, но вы не можете продавать товары.\n Военное снаряжение нельзя купить на международном рынке. Его можно приобрести только по договору о поставке воен. снаряжения.;Здесь вы можете купить сырьё на международном рынке. В отличие от договора о поставке сырья, здесь вы платите золотом по курсу глобальной эталонной валюты ([GetPlayer.GetCustom('global_monetary_reference_currency_ISO_4217')] [GetPlayer.GetCustom('global_monetary_reference_texture')]).\n У вас нет ограничения по количеству покупок, но вы не можете продавать товары.\n Военное снаряжение нельзя купить на международном рынке. Его можно приобрести только по договору о поставке воен. снаряжения.;A/ё
00_ef_gui;1593;ammunition_global_price;Мировая цена на зерно;Мировая цена на боеприпасы;A/везде было «зерно»
00_ef_gui;1594;ammunition_global_offer;Мировое предложение зерна;Мировое предложение боеприпасов;A/везде было «зерно»
00_ef_gui;1595;ammunition_global_demande;Мировой спрос на зерно;Мировой спрос на боеприпасы;A/везде было «зерно»
00_ef_gui;1597;small_arms_global_price;Мировая цена на зерно;Мировая цена на стрелковое оружие;A/везде было «зерно»
00_ef_gui;1598;small_arms_global_offer;Мировое предложение зерна;Мировое предложение стрелкового оружия;A/везде было «зерно»
00_ef_gui;1599;small_arms_global_demande;Мировой спрос на зерно;Мировой спрос на стрелковое оружие;A/везде было «зерно»
00_ef_gui;1601;artillery_global_price;Мировая цена на зерно;Мировая цена на артиллерию;A/везде было «зерно»
00_ef_gui;1602;artillery_global_offer;Мировое предложение зерна;Мировое предложение артиллерии;A/везде было «зерно»
00_ef_gui;1603;artillery_global_demande;Мировой спрос на зерно;Мировой спрос на артиллерию;A/везде было «зерно»
00_ef_gui;1605;tanks_global_price;Мировая цена на зерно;Мировая цена на танки;A/везде было «зерно»
00_ef_gui;1606;tanks_global_offer;Мировое предложение зерна;Мировое предложение танков;A/везде было «зерно»
00_ef_gui;1607;tanks_global_demande;Мировой спрос на зерно;Мировой спрос на танки;A/везде было «зерно»
00_ef_gui;1609;aeroplanes_global_price;Мировая цена на зерно;Мировая цена на самолёты;A/везде было «зерно»
00_ef_gui;1610;aeroplanes_global_offer;Мировое предложение зерна;Мировое предложение самолётов;A/везде было «зерно»
00_ef_gui;1611;aeroplanes_global_demande;Мировой спрос на зерно;Мировой спрос на самолёты;A/везде было «зерно»
00_ef_gui;1617;fabric_global_price;Мировая цена на зерно;Мировая цена на ткань;A/везде было «зерно»
00_ef_gui;1618;fabric_global_offer;Мировое предложение зерна;Мировое предложение ткани;A/везде было «зерно»
00_ef_gui;1619;fabric_global_demande;Мировой спрос на зерно;Мировой спрос на ткань;A/везде было «зерно»
00_ef_gui;1621;wood_global_price;Мировая цена на зерно;Мировая цена на древесину;A/везде было «зерно»
00_ef_gui;1622;wood_global_offer;Мировое предложение зерна;Мировое предложение древесины;A/везде было «зерно»
00_ef_gui;1623;wood_global_demande;Мировой спрос на зерно;Мировой спрос на древесину;A/везде было «зерно»
00_ef_gui;1625;groceries_global_price;Мировая цена на зерно;Мировая цена на продукты;A/везде было «зерно»
00_ef_gui;1626;groceries_global_offer;Мировое предложение зерна;Мировое предложение продуктов;A/везде было «зерно»
00_ef_gui;1627;groceries_global_demande;Мировой спрос на зерно;Мировой спрос на продукты;A/везде было «зерно»
00_ef_gui;1629;clothes_global_price;Мировая цена на зерно;Мировая цена на одежду;A/везде было «зерно»
00_ef_gui;1630;clothes_global_offer;Мировое предложение зерна;Мировое предложение одежды;A/везде было «зерно»
00_ef_gui;1631;clothes_global_demande;Мировой спрос на зерно;Мировой спрос на одежду;A/везде было «зерно»
00_ef_gui;1633;paper_global_price;Мировая цена на зерно;Мировая цена на бумагу;A/везде было «зерно»
00_ef_gui;1634;paper_global_offer;Мировое предложение зерна;Мировое предложение бумаги;A/везде было «зерно»
00_ef_gui;1635;paper_global_demande;Мировой спрос на зерно;Мировой спрос на бумагу;A/везде было «зерно»
00_ef_gui;1637;silk_global_price;Мировая цена на зерно;Мировая цена на шёлк;A/везде было «зерно»
00_ef_gui;1638;silk_global_offer;Мировое предложение зерна;Мировое предложение шёлка;A/везде было «зерно»
00_ef_gui;1639;silk_global_demande;Мировой спрос на зерно;Мировой спрос на шёлк;A/везде было «зерно»
00_ef_gui;1641;dye_global_price;Мировая цена на зерно;Мировая цена на красители;A/везде было «зерно»
00_ef_gui;1642;dye_global_offer;Мировое предложение зерна;Мировое предложение красителей;A/везде было «зерно»
00_ef_gui;1643;dye_global_demande;Мировой спрос на зерно;Мировой спрос на красители;A/везде было «зерно»
00_ef_gui;1645;sulfur_global_price;Мировая цена на зерно;Мировая цена на серу;A/везде было «зерно»
00_ef_gui;1646;sulfur_global_offer;Мировое предложение зерна;Мировое предложение серы;A/везде было «зерно»
00_ef_gui;1647;sulfur_global_demande;Мировой спрос на зерно;Мировой спрос на серу;A/везде было «зерно»
00_ef_gui;1649;coal_global_price;Мировая цена на зерно;Мировая цена на уголь;A/везде было «зерно»
00_ef_gui;1650;coal_global_offer;Мировое предложение зерна;Мировое предложение угля;A/везде было «зерно»
00_ef_gui;1651;coal_global_demande;Мировой спрос на зерно;Мировой спрос на уголь;A/везде было «зерно»
00_ef_gui;1653;iron_global_price;Мировая цена на зерно;Мировая цена на железо;A/везде было «зерно»
00_ef_gui;1654;iron_global_offer;Мировое предложение зерна;Мировое предложение железа;A/везде было «зерно»
00_ef_gui;1655;iron_global_demande;Мировой спрос на зерно;Мировой спрос на железо;A/везде было «зерно»
00_ef_gui;1657;lead_global_price;Мировая цена на зерно;Мировая цена на свинец;A/везде было «зерно»
00_ef_gui;1658;lead_global_offer;Мировое предложение зерна;Мировое предложение свинца;A/везде было «зерно»
00_ef_gui;1659;lead_global_demande;Мировой спрос на зерно;Мировой спрос на свинец;A/везде было «зерно»
00_ef_gui;1661;hardwood_global_price;Мировая цена на зерно;Мировая цена на твёрдую древесину;A/везде было «зерно»
00_ef_gui;1662;hardwood_global_offer;Мировое предложение зерна;Мировое предложение твёрдой древесины;A/везде было «зерно»
00_ef_gui;1663;hardwood_global_demande;Мировой спрос на зерно;Мировой спрос на твёрдую древесину;A/везде было «зерно»
00_ef_gui;1665;rubber_global_price;Мировая цена на зерно;Мировая цена на каучук;A/везде было «зерно»
00_ef_gui;1666;rubber_global_offer;Мировое предложение зерна;Мировое предложение каучука;A/везде было «зерно»
00_ef_gui;1667;rubber_global_demande;Мировой спрос на зерно;Мировой спрос на каучук;A/везде было «зерно»
00_ef_gui;1669;oil_global_price;Мировая цена на зерно;Мировая цена на нефть;A/везде было «зерно»
00_ef_gui;1670;oil_global_offer;Мировое предложение зерна;Мировое предложение нефти;A/везде было «зерно»
00_ef_gui;1671;oil_global_demande;Мировой спрос на зерно;Мировой спрос на нефть;A/везде было «зерно»
00_ef_gui;1673;engines_global_price;Мировая цена на зерно;Мировая цена на двигатели;A/везде было «зерно»
00_ef_gui;1674;engines_global_offer;Мировое предложение зерна;Мировое предложение двигателей;A/везде было «зерно»
00_ef_gui;1675;engines_global_demande;Мировой спрос на зерно;Мировой спрос на двигатели;A/везде было «зерно»
00_ef_gui;1677;steel_global_price;Мировая цена на зерно;Мировая цена на сталь;A/везде было «зерно»
00_ef_gui;1678;steel_global_offer;Мировое предложение зерна;Мировое предложение стали;A/везде было «зерно»
00_ef_gui;1679;steel_global_demande;Мировой спрос на зерно;Мировой спрос на сталь;A/везде было «зерно»
00_ef_gui;1681;fertilizer_global_price;Мировая цена на зерно;Мировая цена на удобрения;A/везде было «зерно»
00_ef_gui;1682;fertilizer_global_offer;Мировое предложение зерна;Мировое предложение удобрений;A/везде было «зерно»
00_ef_gui;1683;fertilizer_global_demande;Мировой спрос на зерно;Мировой спрос на удобрения;A/везде было «зерно»
00_ef_gui;1685;tools_global_price;Мировая цена на зерно;Мировая цена на инструменты;A/везде было «зерно»
00_ef_gui;1686;tools_global_offer;Мировое предложение зерна;Мировое предложение инструментов;A/везде было «зерно»
00_ef_gui;1687;tools_global_demande;Мировой спрос на зерно;Мировой спрос на инструменты;A/везде было «зерно»
00_ef_gui;1689;explosives_global_price;Мировая цена на зерно;Мировая цена на взрывчатку;A/везде было «зерно»
00_ef_gui;1690;explosives_global_offer;Мировое предложение зерна;Мировое предложение взрывчатки;A/везде было «зерно»
00_ef_gui;1691;explosives_global_demande;Мировой спрос на зерно;Мировой спрос на взрывчатку;A/везде было «зерно»
00_ef_gui;1693;automobiles_global_price;Мировая цена на зерно;Мировая цена на автомобили;A/везде было «зерно»
00_ef_gui;1694;automobiles_global_offer;Мировое предложение зерна;Мировое предложение автомобилей;A/везде было «зерно»
00_ef_gui;1695;automobiles_global_demande;Мировой спрос на зерно;Мировой спрос на автомобили;A/везде было «зерно»
00_ef_gui;1697;telephones_global_price;Мировая цена на зерно;Мировая цена на телефоны;A/везде было «зерно»
00_ef_gui;1698;telephones_global_offer;Мировое предложение зерна;Мировое предложение телефонов;A/везде было «зерно»
00_ef_gui;1699;telephones_global_demande;Мировой спрос на зерно;Мировой спрос на телефоны;A/везде было «зерно»
00_ef_gui;1701;radios_global_price;Мировая цена на зерно;Мировая цена на радиоприёмники;A/везде было «зерно»
00_ef_gui;1702;radios_global_offer;Мировое предложение зерна;Мировое предложение радиоприёмников;A/везде было «зерно»
00_ef_gui;1703;radios_global_demande;Мировой спрос на зерно;Мировой спрос на радиоприёмники;A/везде было «зерно»
00_ef_gui;1705;opium_global_price;Мировая цена на зерно;Мировая цена на опиум;A/везде было «зерно»
00_ef_gui;1706;opium_global_offer;Мировое предложение зерна;Мировое предложение опиума;A/везде было «зерно»
00_ef_gui;1707;opium_global_demande;Мировой спрос на зерно;Мировой спрос на опиум;A/везде было «зерно»
00_ef_gui;1763;base_rate_percentage_txt;Базовая ставка вызывает ежегодное изменение частного кредита на [GetPlayer.MakeScope.ScriptValue('base_rate_effective_growth')|%=+], что равно [GetPlayer.MakeScope.ScriptValue('private_bank_borrowings_year')|+D] [GetPlayer.GetCustom('currency_symbol')], применяемым к инвестиционному пулу.;Ключевая ставка вызывает ежегодное изменение частного кредита на [GetPlayer.MakeScope.ScriptValue('base_rate_effective_growth')|%=+], что равно [GetPlayer.MakeScope.ScriptValue('private_bank_borrowings_year')|+D] [GetPlayer.GetCustom('currency_symbol')], применяемым к инвестиционному пулу.;C/base rate
00_ef_gui;1765;base_rate_percentage;Базовая ставка;Ключевая ставка;C/base rate
00_ef_gui;1788;refund_debt_txt;Вы выплатите [GetPlayer.MakeScope.Var('refund_credit_at_central_bank').GetValue|D] [GetPlayer.GetCustom('currency_symbol')] вашему центральному банку для погашения долга. Это приведет к пересчету вашей ежемесячной процентной ставки, уменьшив ежемесячные платежи.;Вы выплатите [GetPlayer.MakeScope.Var('refund_credit_at_central_bank').GetValue|D] [GetPlayer.GetCustom('currency_symbol')] вашему центральному банку для погашения долга. Это приведёт к пересчёту вашей ежемесячной процентной ставки, уменьшив ежемесячные платежи.;A/ё
00_ef_gui;1793;refund_all;Погасить все;Погасить всё;A/ё
00_ef_gui;1854;store_on;Хранить включено;#P Хранение включено#!;A/потерян цветовой тег
00_ef_gui;1855;release_on;Выпуск включён;#N Высвобождение включено#!;A/потерян цветовой тег
00_ef_gui;2325;you_must_have_the_technology_stockpiling_goods;Вам необходима технология «Накопление запасов»;Вам необходима технология «Складирование товаров»;C/технология
00_ef_gui;2548;national_stockpile_country_desc;" ""Нац. Резерв"" — это значительный запас или накопление чего-либо, обычно товаров, сырья или ресурсов, хранимых в ожидании будущих потребностей или для решения чрезвычайных ситуаций. Также может означать большое количество чего-либо, накопленное за определённый период времени. "; «Национальный резерв» — это значительный запас или накопление чего-либо, обычно товаров, сырья или ресурсов, хранимых в ожидании будущих потребностей или для решения чрезвычайных ситуаций. Также может означать большое количество чего-либо, накопленное за определённый период времени. ;A/кавычки внутри строки
00_ef_gui;2679;chek_sell_limit_currency_var_0;Вы #p покупаете #!/#n продаёте #![GetPlayer.MakeScope.Var('sell_limit_currency_var_1').GetValue|D] [GetPlayer.GetCustom('currency_good')]/[GetPlayer.GetCustom('sell_limit_currency_var_0')] [GetPlayer.MakeScope.ScriptValue('sell_limit_currency_var_0')|D] [GetPlayer.GetCustom('currency_good')] сколько разрешено вашему рангу страны в этом году.;Вы #p покупаете #!/#n продаёте #![GetPlayer.MakeScope.Var('sell_limit_currency_var_1').GetValue|D] [GetPlayer.GetCustom('currency_good')] из [GetPlayer.GetCustom('sell_limit_currency_var_0')] [GetPlayer.MakeScope.ScriptValue('sell_limit_currency_var_0')|D] [GetPlayer.GetCustom('currency_good')], разрешённых вашему рангу страны в этом году.;A/связность
00_ef_gui;3215;is_looted_state;Эта столица штата недавно была разграблена.;Эта столица области недавно была разграблена.;A/штат→область
00_ef_gui;3216;is_looted_state;Эта столица штата недавно была разграблена.;Эта столица области недавно была разграблена.;A/штат→область
00_ef_gui;3218;central_bank_metal_reserves_state_transfert;Перевести банковские резервы, финансовые продукты из [Localize('FINANCIAL_CENTRE_TITLE')] и товары из [Localize('NATIONAL_STOCKPILE_TITLE')] в столичный штат. (Вы не должны быть в состоянии войны);Перевести банковские резервы, финансовые продукты из [Localize('FINANCIAL_CENTRE_TITLE')] и товары из [Localize('NATIONAL_STOCKPILE_TITLE')] в столичную область. (Вы не должны быть в состоянии войны);A/штат→область
00_ef_gui;3219;looting_state_button;Разграбить половину всех активов (металлы, финансовые продукты, запасы), хранящихся в этом штате. Они будут переведены в ваш столичный штат. Грабёж разрешён один раз в год и каждый раз накладывает штраф #N 50#! к [concept_infamy].;Разграбить половину всех активов (металлы, финансовые продукты, запасы), хранящихся в этой области. Они будут переведены в вашу столичную область. Грабёж разрешён один раз в год и каждый раз накладывает штраф #N 50#! к [concept_infamy].;A/штат→область
00_ef_gui;3224;dependent_bc;Центральный банк зависит от [State.GetOwner.GetOverlord.GetName];Центральный банк зависит от [State.GetOwner.GetOverlord.GetAltName('RU_CL_RP')];B/родительный
00_ef_gui;3226;offshore_port;Оффшорный порт;Офшорный порт;A/орфография
00_ef_gui;3637;money_value_parity;[GetPlayer.GetCustom('currency_name')] value: [GetPlayer.MakeScope.ScriptValue('money_value_target_real')|+D] [GetPlayer.GetCustom('monetary_system')];[GetPlayer.GetCustom('currency_name')] — стоимость: [GetPlayer.MakeScope.ScriptValue('money_value_target_real')|+D] [GetPlayer.GetCustom('monetary_system')];A/непереведено
00_ef_gui;6134;central_bank_desc;Здесь вы найдете национальную валюту и золотые резервы, хранящиеся в [concept_central_bank] государства.;Здесь вы найдёте национальную валюту и золотые резервы, хранящиеся в [concept_central_bank] государства.;A/ё
00_ef_gui;6136;financial_center_state_desc;Здесь вы найдете резервы финансо-\nвых продуктов, хранящиеся в [concept_financial_centre] государства.;Здесь вы найдёте резервы финансо-\nвых продуктов, хранящиеся в [concept_financial_centre] государства.;A/ё
00_ef_gui;6138;national_stockpile_state_desc;Здесь вы найдете резервы товаров, хранящиеся в [concept_national_stockpile] государства.;Здесь вы найдёте резервы товаров, хранящиеся в [concept_national_stockpile] государства.;A/ё
00_ef_gui;6140;reserves_currency_desc;Здесь вы найдете валютные резервы, хранящиеся в [concept_central_bank] государства.;Здесь вы найдёте валютные резервы, хранящиеся в [concept_central_bank] государства.;A/ё
00_ef_gui;6182;ai_switch_for_gold_exchange_standard_decisions_1;Принять законы о золотодевизном стандарте;Принять законы о золотом обменном стандарте;C/gold exchange
01_ef_building;24;building_financial_centre_scripted;Фондовая биржа [ROOT.GetCountry.GetCapital.GetNameNoFormatting];Фондовая биржа ([ROOT.GetCountry.GetCapital.GetNameNoFormatting]);A/грамматика
01_ef_building;26;bg_financial_centre;Финансовый центр;Финансовые центры;C/группа зданий во мн. ч.
01_ef_building;71;building_national_stockpile;Национальные запасы;Национальный резерв;C/термин
01_ef_company;18;company_basic_bank;Национальный банк;Национальный гражданский банк;A/потерян фрагмент
01_ef_company;24;company_private_construction_dynamic_name_tag_plural;Частная строительная компания;Частные строительные компании;A/мн. число
01_ef_company;40;company_basic_gold_mining_rus_dynamic_name_tag_plural;PИмператорское Уральское металлургическое общество;Императорское Уральское металлургическое общество;A/мусорный символ
01_ef_concept;55;concept_money_value_target_with_reference_currency_selection_desc;Не за что;Паритет, установленный по отношению к выбранной эталонной валюте.;A/заглушка «De Rien»
01_ef_concept;90;concept_evolution_of_the_currency_value;Динамика курса валют;Динамика стоимости валюты;C/термин
01_ef_concept;144;concept_financial_product_industrial;Финансовый продукт — промышленный;Финансовый продукт — акции;A/смысл
01_ef_concept;153;concept_r_m_s_a;Договор о поставке сырья;Договор о поставках сырья;C/термин
01_ef_concept;156;concept_m_e_s_a;Договор о поставке военного оборудования;Договор о поставках военного снаряжения;C/термин
01_ef_concept;157;concept_m_e_s_a_desc;[concept_m_e_s_a] — это лицензия, позволяющая приобретать военное оборудование у конкретной иностранной страны за её национальную валюту.;[concept_m_e_s_a] — это лицензия, позволяющая приобретать военное снаряжение у конкретной иностранной страны за её национальную валюту.;C/термин
01_ef_concept;186;concept_pool_growth_rate_thanks_to_borrowing;Рост пула за счёт заимствований;Темп роста пула за счёт заимствований;A/согласование с описанием
01_ef_concept;201;concept_base_rate_percentage_desc;[concept_base_rate_percentage] — это процентная ставка центрального банка (учётная, дисконтная или базовая ставка), позволяющая замедлить рост денежной массы за счёт сокращения кредитов, выдаваемых частным банкам. Её повышение замедляет экономику и объём производимой денежной массы. Наоборот, её снижение сильно стимулирует экономику и позволяет появиться частному капиталистическому сектору.;[concept_base_rate_percentage] — это процентная ставка центрального банка (учётная, дисконтная или ключевая ставка), позволяющая замедлить рост денежной массы за счёт сокращения кредитов, выдаваемых частным банкам. Её повышение замедляет экономику и объём производимой денежной массы. Наоборот, её снижение сильно стимулирует экономику и позволяет появиться частному капиталистическому сектору.;C/base rate
01_ef_concept;203;concept_base_rate_percentage_s_desc;[concept_base_rate_percentage] — это процентная ставка центрального банка (учётная, дисконтная или базовая ставка), позволяющая замедлить рост денежной массы за счёт сокращения кредитов, выдаваемых частным банкам. Её повышение замедляет экономику и объём производимой денежной массы. Наоборот, её снижение сильно стимулирует экономику и позволяет появиться частному капиталистическому сектору.;[concept_base_rate_percentage] — это процентная ставка центрального банка (учётная, дисконтная или ключевая ставка), позволяющая замедлить рост денежной массы за счёт сокращения кредитов, выдаваемых частным банкам. Её повышение замедляет экономику и объём производимой денежной массы. Наоборот, её снижение сильно стимулирует экономику и позволяет появиться частному капиталистическому сектору.;C/base rate
01_ef_currency_name;189;eco_tuareg_ouguiya;Туарегский угия;Туарегская угия;C/угия
01_ef_currency_name;249;gulden_indies_guilder;Голландский гульден Ост-Индии;Ост-индский гульден;C/гульден
