файл;строка;ключ;было;стало
01_ef_currency_name;116;dollar_confederate_states_dollar_short;КС Доллар;Доллар КША
01_ef_currency_name;256;gulden_south_german_gulden_short;ЮГ гульден;Южногерм. гульден
01_ef_je;32;financial_center_je_1_reason;Центральный банк позволяет унифицировать и централизовать выпуск монет и банкнот — ключевой этап экономического развития любого государства.\n \n Центральный банк автоматически появится, когда ВВП страны превысит 5 миллионов, либо когда будет открыта технология «Центральный банк».;"Фондовая биржа даёт предпринимателям и инвесторам единую площадку для обращения акций и облигаций — необходимый шаг для перехода экономики к акционерному капиталу.\n \n Финансовый центр появится, когда будут открыты технологии «[GetTechnology('stock_exchange').GetName]» и «[GetTechnology('financial_center').GetName]»; исследование обеих ускоряется по мере роста ВВП страны."
01_ef_je;39;financial_center_je_2_reason;#l > Стабильность финансового сектора: #! \n\n #b Спекулятивный рынок#! в настоящее время составляет #b [GetPlayer.MakeScope.ScriptValue('fiancial_center_week_balance_in_ratio')|%|]#! национального #b [concept_gdp]#!.\n\nЧем большую долю [concept_gdp] занимает спекулятивный рынок, тем сильнее раздувается спекулятивный пузырь по следующей схеме:\n\n #U - 0–10% → спекулятивное напряжение сильно снижено (−3)\n - 10–20% → напряжение снижается (−2)\n - 20–30% → небольшое снижение (−1)\n - 30–40% → небольшой рост (+1)\n - 40–50% → заметный рост (+2)\n - 50%+ → сильный рост пузыря (+3)#!\n\n#b Текущие последствия:#!\n - Сокращение доступной мощности [concept_construction] (сейчас: [GetPlayer.MakeScope.ScriptValue('speculative_share_1_penality')|D=+] %)\n - Замедление темпа инноваций (сейчас: [GetPlayer.MakeScope.ScriptValue('speculative_share_1_penality')|D=+] %)\n - Снижение целевого [concept_prosperity] для [concept_company] (сейчас: [GetPlayer.MakeScope.ScriptValue('speculative_share_1_penality')|D=+] %)\n - Потеря национального престижа (сейчас: [GetPlayer.MakeScope.ScriptValue('speculative_share_1_penality')|D=+] %)\n\nЕсли пузырь достигнет #b 100%#! заполнения, страну поразит #b крупный финансовый крах#!.\n\n#l > Стабильность строительного сектора: #!\n\n [GetBuildingType('building_ef_private_construction').GetName] отражает общий спрос на проекты [concept_construction] со стороны частных лиц, а также [concept_company] разного размера.\n\n В отличие от мощности государственного [GetBuildingType('building_construction_sector').GetName], мощность [GetBuildingType('building_ef_private_construction').GetName] имеет теоретический предел — совокупный спрос населения на [concept_construction].\n \n Таким образом, существует прямая связь между уровнем [concept_urbanization] областей страны и её максимальной мощностью [GetBuildingType('building_ef_private_construction').GetName].\n \n [concept_base_rate_percentage], устанавливаемая Центральным банком, выступает множителем, связывающим эти две величины. Следовательно, теоретически максимальная мощность [GetBuildingType('building_ef_private_construction').GetName] страны равна:\n \n #v Суммарный уровень [GetBuildingType('building_urban_center').GetName] × (1 - Ключевая ставка x 10)#!\n \n #lore «Чем выше [concept_base_rate_percentage], тем сильнее сжимается строительный сектор. И наоборот, когда [concept_base_rate_percentage] низка, [GetBuildingType('building_ef_private_construction').GetName] достигает своего максимального потенциала спроса — равного суммарному числу уровней [GetBuildingType('building_urban_center').GetName] во всех областях.»#! \n \n #b Текущие значения:#!\n - Число [GetBuildingType('building_ef_private_construction').GetName] в стране: #p [GetPlayer.MakeScope.ScriptValue('building_ef_private_construction_lvl')]#!\n - Суммарный уровень [GetBuildingType('building_urban_center').GetName]: #p [GetPlayer.MakeScope.ScriptValue('building_urban_center_lvl')]#!\n - Текущая [concept_base_rate_percentage]: #p [GetPlayer.MakeScope.ScriptValue('base_rate_percentage_decimal')]%#!\n - Теоретический максимум уровня ЧСС: #p [GetPlayer.MakeScope.ScriptValue('building_urban_center_lvl_by_base_rate')]#! #b (т.е. [GetPlayer.MakeScope.ScriptValue('base_rate_to_pcs_factor')|%] от [GetPlayer.MakeScope.ScriptValue('building_urban_center_lvl')])#!\n \n Если суммарное число уровней [GetBuildingType('building_ef_private_construction').GetName] превысит этот теоретический максимум из-за рыночной конъюнктуры, страна попадает в состояние #v перестроенной экономики#!.\n \n Пока длится перестроенная экономика, шкала прогресса растёт на #U +1#! каждый месяц, а её заполнение напрямую определяет отрицательный модификатор к выпуску финансовых продуктов.\n \n И наоборот, пока текущий уровень [GetBuildingType('building_ef_private_construction').GetName] ниже максимального, вы можете попросить частный сектор строить больше в обмен на экономические уступки.;#l > Стабильность финансового сектора: #! \n\n #b Спекулятивный рынок#! в настоящее время составляет #b [GetPlayer.MakeScope.ScriptValue('fiancial_center_week_balance_in_ratio')|%|]#! национального #b [concept_gdp]#!.\n\nЧем большую долю [concept_gdp] занимает спекулятивный рынок, тем сильнее раздувается спекулятивный пузырь по следующей схеме:\n\n #U - 0–10% → спекулятивное напряжение сильно снижено (−3)\n - 10–20% → напряжение снижается (−2)\n - 20–30% → небольшое снижение (−1)\n - 30–40% → небольшой рост (+1)\n - 40–50% → заметный рост (+2)\n - 50%+ → сильный рост пузыря (+3)#!\n\n#b Текущие последствия:#!\n - Сокращение доступной мощности [concept_construction] (сейчас: [GetPlayer.MakeScope.ScriptValue('speculative_share_1_penality')|D=+] %)\n - Замедление темпа инноваций (сейчас: [GetPlayer.MakeScope.ScriptValue('speculative_share_1_penality')|D=+] %)\n - Снижение целевого [concept_prosperity] для [concept_company] (сейчас: [GetPlayer.MakeScope.ScriptValue('speculative_share_1_penality')|D=+] %)\n - Потеря национального престижа (сейчас: [GetPlayer.MakeScope.ScriptValue('speculative_share_1_penality')|D=+] %)\n\nЕсли пузырь достигнет #b 100%#! заполнения, страну поразит #b крупный финансовый крах#!.\n\n#l > Стабильность строительного сектора: #!\n\n [GetBuildingType('building_ef_private_construction').GetName] отражают общий спрос на проекты [concept_construction] со стороны частных лиц, а также [concept_company] разного размера.\n\n В отличие от мощности государственного [GetBuildingType('building_construction_sector').GetName], мощность [GetBuildingType('building_ef_private_construction').GetName] имеет теоретический предел — совокупный спрос населения на [concept_construction].\n \n Таким образом, существует прямая связь между уровнем [concept_urbanization] областей страны и её максимальной мощностью [GetBuildingType('building_ef_private_construction').GetName].\n \n [concept_base_rate_percentage], устанавливаемая Центральным банком, выступает множителем, связывающим эти две величины. Следовательно, теоретически максимальная мощность [GetBuildingType('building_ef_private_construction').GetName] страны равна:\n \n #v Суммарный уровень [GetBuildingType('building_urban_center').GetName] × (1 - Ключевая ставка x 10)#!\n \n #lore «Чем выше [concept_base_rate_percentage], тем сильнее сжимается строительный сектор. И наоборот, когда [concept_base_rate_percentage] низка, [GetBuildingType('building_ef_private_construction').GetName] достигают своего максимального потенциала спроса — равного суммарному числу уровней [GetBuildingType('building_urban_center').GetName] во всех областях.»#! \n \n #b Текущие значения:#!\n - Число [GetBuildingType('building_ef_private_construction').GetName] в стране: #p [GetPlayer.MakeScope.ScriptValue('building_ef_private_construction_lvl')]#!\n - Суммарный уровень [GetBuildingType('building_urban_center').GetName]: #p [GetPlayer.MakeScope.ScriptValue('building_urban_center_lvl')]#!\n - Текущая [concept_base_rate_percentage]: #p [GetPlayer.MakeScope.ScriptValue('base_rate_percentage_decimal')]%#!\n - Теоретический максимум уровня ЧСС: #p [GetPlayer.MakeScope.ScriptValue('building_urban_center_lvl_by_base_rate')]#! #b (т.е. [GetPlayer.MakeScope.ScriptValue('base_rate_to_pcs_factor')|%] от [GetPlayer.MakeScope.ScriptValue('building_urban_center_lvl')])#!\n \n Если суммарное число уровней [GetBuildingType('building_ef_private_construction').GetName] превысит этот теоретический максимум из-за рыночной конъюнктуры, страна попадает в состояние #v перестроенной экономики#!.\n \n Пока длится перестроенная экономика, шкала прогресса растёт на #U +1#! каждый месяц, а её заполнение напрямую определяет отрицательный модификатор к выпуску финансовых продуктов.\n \n И наоборот, пока текущий уровень [GetBuildingType('building_ef_private_construction').GetName] ниже максимального, вы можете попросить частный сектор строить больше в обмен на экономические уступки.
01_ef_je;163;status_financial_center_je_2;Всё больше частных компаний теперь полагаются на выпуск акций для финансирования своих предприятий. [GetBuildingType('building_financial_centre').GetName] станет идеальным местом, где предприниматели и инвесторы смогут встречаться и обмениваться капиталом.;Всё больше частных компаний теперь полагаются на выпуск акций для финансирования своих предприятий. [GetBuildingType('building_financial_centre').GetName] станут идеальным местом, где предприниматели и инвесторы смогут встречаться и обмениваться капиталом.
01_ef_je;300;bank_central_currency_JE_dollar_united_states_dollar;TEXT;Доллар США
01_ef_je;301;bank_central_currency_JE_dollar_united_states_dollar_reason;TEXT;Единая национальная валюта заменяет пёстрый оборот банкнот частных банков и иностранной монеты, закрепляя за федеральным правительством исключительное право денежной эмиссии.
01_ef_je;343;speculative_share_13_button_tt_effect_1_1;Один [GetBuildingType('building_ef_private_construction').GetName] в случайной области будет полностью демонтирован, что сократит общее число [GetBuildingType('building_ef_private_construction').GetName] в стране.;Один из [GetBuildingType('building_ef_private_construction').GetName] в случайной области будет полностью демонтирован, что сократит общее число [GetBuildingType('building_ef_private_construction').GetName] в стране.
01_ef_modifier_type;257;modifier_goods_output_oil_add;Производство нефти;Производство ГСМ
01_ef_modifier_type;258;modifier_goods_output_oil_add_desc;Производство нефти;Производство ГСМ
01_ef_modifier_type;259;modifier_goods_input_oil_add;Потребление нефти;Потребление ГСМ
01_ef_modifier_type;260;modifier_goods_input_oil_add_desc;Потребление нефти;Потребление ГСМ
01_ef_modifier_type;261;modifier_goods_input_oil_mult;Накопление нефти;Накопление ГСМ
01_ef_modifier_type;262;modifier_goods_input_oil_mult_desc;Накопление нефти;Накопление ГСМ
01_ef_modifier_type;263;modifier_goods_output_oil_mult;Высвобождение нефти;Высвобождение ГСМ
01_ef_modifier_type;264;modifier_goods_output_oil_mult_desc;Высвобождение нефти;Высвобождение ГСМ
01_ef_modifier_type;321;modifier_goods_output_aeroplanes_add;Производство самолётов;Производство аэропланов
01_ef_modifier_type;322;modifier_goods_output_aeroplanes_add_desc;Производство самолётов;Производство аэропланов
01_ef_modifier_type;323;modifier_goods_input_aeroplanes_add;Потребление самолётов;Потребление аэропланов
01_ef_modifier_type;324;modifier_goods_input_aeroplanes_add_desc;Потребление самолётов;Потребление аэропланов
01_ef_modifier_type;325;modifier_goods_input_aeroplanes_mult;Накопление самолётов;Накопление аэропланов
01_ef_modifier_type;326;modifier_goods_input_aeroplanes_mult_desc;Накопление самолётов;Накопление аэропланов
01_ef_modifier_type;327;modifier_goods_output_aeroplanes_mult;Высвобождение самолётов;Высвобождение аэропланов
01_ef_modifier_type;328;modifier_goods_output_aeroplanes_mult_desc;Высвобождение самолётов;Высвобождение аэропланов
01_ef_modifier_type;329;modifier_goods_output_manowars_add;Производство линкоров;Производство мановаров
01_ef_modifier_type;330;modifier_goods_output_manowars_add_desc;Производство линкоров;Производство мановаров
01_ef_modifier_type;331;modifier_goods_input_manowars_add;Потребление линкоров;Потребление мановаров
01_ef_modifier_type;332;modifier_goods_input_manowars_add_desc;Потребление линкоров;Потребление мановаров
01_ef_modifier_type;333;modifier_goods_input_manowars_mult;Накопление линкоров;Накопление мановаров
01_ef_modifier_type;334;modifier_goods_input_manowars_mult_desc;Накопление линкоров;Накопление мановаров
01_ef_modifier_type;335;modifier_goods_output_manowars_mult;Высвобождение линкоров;Высвобождение мановаров
01_ef_modifier_type;336;modifier_goods_output_manowars_mult_desc;Высвобождение линкоров;Высвобождение мановаров
